cohort,coin,observations,coverage_pct,first_observation_utc,last_observation_utc,hours_stale_at_cutoff,positive_hours_pct,negative_hours_pct,simple_cumulative_funding_1x_pct,constant_2x_funding_pct_of_starting_equity,annualized_arithmetic_mean_1x_pct
core_crypto,CFX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,99.9074074074,0.0925925926,2.8541601200,5.7083202400,11.5752049311
core_crypto,COMP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,50.6481481481,49.3518518519,-5.2840408000,-10.5680816000,-21.4297210222
core_crypto,CRV,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,83.4259259259,16.5740740741,1.4396119300,2.8792238600,5.8384261606
core_crypto,DOGE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,78.1481481481,21.8518518519,1.4142806500,2.8285613000,5.7356937472
core_crypto,DOT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,58.2407407407,41.7592592593,-1.4783740600,-2.9567481200,-5.9956281322
core_crypto,DYDX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,97.0833333333,2.9166666667,2.8259832200,5.6519664400,11.4609319478
core_crypto,DYM,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,79.7685185185,20.2314814815,-0.5657182700,-1.1314365400,-2.2943018728
core_crypto,EIGEN,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,60.7407407407,39.2592592593,-1.8140874300,-3.6281748600,-7.3571323550
core_crypto,ENA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,82.3611111111,17.6388888889,1.4793678000,2.9587356000,5.9996583000
core_crypto,ENS,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,99.9537037037,0.0462962963,2.7080580400,5.4161160800,10.9826798289
core_crypto,ETC,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,70.7407407407,29.2592592593,0.3021147900,0.6042295800,1.2252433150
core_crypto,ETH,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,72.9166666667,27.0833333333,0.9411285400,1.8822570800,3.8167990789
core_crypto,ETHFI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,94.8611111111,5.1388888889,2.4396684900,4.8793369800,9.8942110983
core_crypto,FARTCOIN,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,97.5925925926,2.4074074074,3.3048529800,6.6097059600,13.4030148633
core_crypto,FET,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,85.0462962963,14.9537037037,-0.8704632000,-1.7409264000,-3.5302118667
core_crypto,FIL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,83.1481481481,16.8518518519,1.3995767100,2.7991534200,5.6760611017
core_crypto,GALA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,88.0092592593,11.9907407407,1.8088218400,3.6176436800,7.3357774622
core_crypto,GAS,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,61.5277777778,38.4722222222,-4.9166425300,-9.8332850600,-19.9397169272
core_crypto,GMT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,73.7962962963,26.2037037037,-2.2441614200,-4.4883228400,-9.1013213144
core_crypto,GMX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,90.3240740741,9.6759259259,1.9832301700,3.9664603400,8.0431001339
core_crypto,GOAT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,98.6574074074,1.3425925926,3.0303325200,6.0606650400,12.2896818867
core_crypto,GRASS,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,99.9074074074,0.0925925926,3.1862152700,6.3724305400,12.9218730394
core_crypto,GRIFFAIN,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,94.8611111111,5.1388888889,4.6171450100,9.2342900200,18.7250880961
core_crypto,HBAR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,85.2777777778,14.7222222222,1.6674333600,3.3348667200,6.7623686267
core_crypto,HMSTR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,96.2500000000,3.7500000000,2.3036982000,4.6073964000,9.3427760333
