label,url,status,content_type,last_modified,sha256,bytes,error
whitepaper_public,https://postfiat.org/whitepaper/,200,text/html; charset=utf-8,"Mon, 01 Jun 2026 17:09:57 GMT",590baad17e252d682737f45583eb45292c5b0db21af7e9193e6ec845343cf2db,113099,
testnet_vl_public,https://postfiat.org/testnet_vl.json,200,application/json; charset=utf-8,"Mon, 01 Jun 2026 17:09:57 GMT",a3e943b2b59c2d5065ea8e93ed1a82e79c1baf58f4fcd4632c3f2ac76cc27e86,11875,
scoring_config_public,https://scoring-testnet.postfiat.org/api/scoring/config,200,application/json,,1c3baa46307a482148caa53552601bd46b70f9833caa525f8f3c0a3b948e3089,85,
