case,one_way_per_rebalance,rebalances_per_year,annual_one_way_turnover,annual_two_sided_rebalance_notional,annual_gross_rebalance_fees,annual_creator_rebalance_income,annual_aic_rebalance_contribution,first_year_gross_including_initial_entry,first_year_creator_including_initial_entry,first_year_aic_including_initial_entry,additional_gross_on_full_exit,three_year_gross_entry_rebalances_exit,three_year_creator_entry_rebalances_exit,evidence_status
S&P membership proxy,0.012212389380530974,4,0.048849557522123895,97699.1150442478,195.3982300884956,78.15929203539825,78.15929203539825,2195.3982300884954,878.1592920353983,878.1592920353983,2000.0,4586.194690265487,1834.477876106195,"Historical member-count changes, assuming equal-sized replacements; not measured cap-weighted S&P turnover"
Fundamental index research,0.06710432356589752,4,0.26841729426359007,536834.5885271801,1073.6691770543603,429.46767082174415,429.46767082174415,3073.6691770543603,1229.4676708217442,1229.4676708217442,2000.0,7221.007531163081,2888.4030124652327,Historical one-way weight turnover; annualized at four rebalances
"Creator curated, quarterly",0.25,4,1.0,2000000.0,4000.0,1600.0,1600.0,6000.0,2400.0,2400.0,2000.0,16000.0,6400.0,"Illustrative 25% one-way turnover per quarter, not an observed strategy"
"Creator curated, monthly",0.25,12,3.0,6000000.0,12000.0,4800.0,4800.0,14000.0,5600.0,5600.0,2000.0,40000.0,16000.0,"Illustrative 25% one-way turnover per month, not an observed strategy"
